,Unnamed: 0,EntityCommonStockSharesOutstanding-0,MarketCap,dividend,splits
361,2007-09-20,24208660000.0,121311319041.00418,0.0,0.0
362,2007-09-21,24208660000.0,124631359025.67863,0.0,0.0
363,,,,,
364,,,,,
365,2007-09-24,24208660000.0,128202137299.16573,0.0,0.0
366,2007-09-25,24208660000.0,132438657416.60118,0.0,0.0
367,2007-09-26,24208660000.0,132084165353.10744,0.0,0.0
368,2007-09-27,24208660000.0,133579925850.91592,0.0,0.0
369,2007-09-28,24208660000.0,132689384161.82518,0.0,0.0
370,,,,,
371,,,,,
372,2007-10-01,24208660000.0,135170770888.33807,0.0,0.0
373,2007-10-02,24208660000.0,136995085005.97,0.0,0.0
374,2007-10-03,24208660000.0,136536839167.79518,0.0,0.0
375,2007-10-04,24208660000.0,135084320953.02582,0.0,0.0
376,2007-10-05,24208660000.0,139588848567.87683,0.0,0.0
377,,,,,
378,,,,,
379,2007-10-08,24208660000.0,145174156212.57782,0.0,0.0
380,2007-10-09,24208660000.0,145130913929.53873,0.0,0.0
381,2007-10-10,24208660000.0,144205810736.0649,0.0,0.0
382,2007-10-11,24208660000.0,140263259646.89255,0.0,0.0
383,2007-10-12,24208660000.0,144603510451.83182,0.0,0.0
384,,,,,
385,,,,,
386,2007-10-15,24208660000.0,144370064458.79938,0.0,0.0
387,2007-10-16,24208660000.0,146618028279.4571,0.0,0.0
388,2007-10-17,24208660000.0,149358787899.0841,0.0,0.0
389,2007-10-18,24208660000.0,150007237447.25226,0.0,0.0
390,2007-10-19,24208660000.0,147344293158.6361,0.0,0.0
391,,,,,
392,,,,,
393,2007-10-22,24208660000.0,150750783078.6228,0.0,0.0
394,2007-10-23,24208660000.0,160952995173.56873,0.0,0.0
395,2007-10-24,24208660000.0,160754145315.68527,0.0,0.0
396,2007-10-25,24208660000.0,158030666448.24982,0.0,0.0
397,2007-10-26,24208660000.0,159690703755.97,0.0,0.0
398,,,,,
399,,,,,
400,2007-10-29,24208660000.0,160027880436.5063,0.0,0.0
401,2007-10-30,24208660000.0,161679260052.74774,0.0,0.0
402,2007-10-31,24208660000.0,164229827505.97,0.0,0.0
403,2007-11-01,24208660000.0,162059690559.91174,0.0,0.0
404,2007-11-02,24208660000.0,162431463375.597,0.0,0.0
405,,,,,
406,,,,,
407,2007-11-05,24208660000.0,160970299012.93756,0.0,0.0
408,2007-11-06,24208660000.0,165820684086.98083,0.0,0.0
409,2007-11-07,24208660000.0,161074041244.03,0.0,0.0
410,2007-11-08,24208660000.0,151710493950.8343,0.0,0.0
411,2007-11-09,24208660000.0,142978069279.26062,0.0,0.0
412,,,,,
413,,,,,
414,2007-11-12,24208660000.0,132940133994.22646,0.0,0.0
415,2007-11-13,24208660000.0,146946570355.6919,0.0,0.0
416,2007-11-14,24208660000.0,143617872679.53873,0.0,0.0
417,2007-11-15,24208660000.0,142052954542.19818,0.0,0.0
418,2007-11-16,24208660000.0,143859964820.46127,0.0,0.0
419,,,,,
420,,,,,
421,2007-11-19,24208660000.0,141750350909.63364,0.0,0.0
422,2007-11-20,24208660000.0,145986859483.48047,0.0,0.0
423,2007-11-21,24208660000.0,145649682802.94418,0.0,0.0
424,,,,,
425,2007-11-23,24208660000.0,148312638635.149,0.0,0.0
426,,,,,
427,,,,,
428,2007-11-26,24208660000.0,149177230336.98083,0.0,0.0
429,2007-11-27,24208660000.0,151139848190.08826,0.0,0.0
430,2007-11-28,24208660000.0,155817321849.91837,0.0,0.0
431,2007-11-29,24208660000.0,159336223236.0649,0.0,0.0
432,2007-11-30,24208660000.0,157546493709.99335,0.0,0.0
433,,,,,
434,,,,,
435,2007-12-03,24208660000.0,154641457280.45465,0.0,0.0
436,2007-12-04,24208660000.0,155462829786.42462,0.0,0.0
437,2007-12-05,24208660000.0,160382372500.0,0.0,0.0
438,2007-12-06,24208660000.0,164229827505.97,0.0,0.0
439,2007-12-07,24208660000.0,167990821033.0391,0.0,0.0
440,,,,,
441,,,,,
442,2007-12-10,24208660000.0,167912982614.851,0.0,0.0
443,2007-12-11,24208660000.0,163010732197.05582,0.0,0.0
444,2007-12-12,24208660000.0,165016615420.37964,0.0,0.0
445,2007-12-13,24208660000.0,165855245591.3639,0.0,0.0
446,2007-12-14,24208660000.0,164610246469.54535,0.0,0.0
447,,,,,
448,,,,,
449,2007-12-17,24208660000.0,159431307775.67865,0.0,0.0
450,2007-12-18,24208660000.0,158203589406.05164,0.0,0.0
451,2007-12-19,24208660000.0,158324635476.5129,0.0,0.0
452,2007-12-20,24208660000.0,161860817614.851,0.0,0.0
453,2007-12-21,24208660000.0,167653609721.7369,0.0,0.0
454,,,,,
455,,,,,
456,2007-12-24,24208660000.0,171881483691.2823,0.0,0.0
457,,,,,
458,2007-12-26,24208660000.0,172011175909.63364,0.0,0.0
459,2007-12-27,24208660000.0,171682633833.3988,0.0,0.0
460,2007-12-28,24208660000.0,172772025380.373,0.0,0.0
461,,,,,
462,,,,,
463,2007-12-31,24208660000.0,171258984130.373,0.0,0.0
464,,,,,
465,2008-01-02,24208660000.0,168457678388.33807,0.0,0.0
466,2008-01-03,24208660000.0,168535505262.93756,0.0,0.0
467,2008-01-04,24208660000.0,155670325792.19818,0.0,0.0
468,,,,,
469,,,,,
470,2008-01-07,24208660000.0,153586661868.62946,0.0,0.0
471,2008-01-08,24208660000.0,148061888802.74774,0.0,0.0
472,2008-01-09,24208660000.0,155108349266.51953,0.0,0.0
473,2008-01-10,24208660000.0,153915203944.86426,0.0,0.0
474,2008-01-11,24208660000.0,149306911011.74353,0.0,0.0
475,,,,,
476,,,,,
477,2008-01-14,24208660000.0,154572299640.92255,0.0,0.0
478,2008-01-15,24208660000.0,146151147836.98083,0.0,0.0
479,2008-01-16,24208660000.0,138023953517.71356,0.0,0.0
480,2008-01-17,24208660000.0,139104675829.62036,0.0,0.0
481,2008-01-18,24208660000.0,139511044780.45465,0.0,0.0
482,,,,,
483,,,,,
484,,,,,
485,2008-01-22,24208660000.0,134565552079.62036,0.0,0.0
486,2008-01-23,24208660000.0,120239231333.39882,0.0,0.0
487,2008-01-24,24208660000.0,117239075733.48044,0.0,0.0
488,2008-01-25,24208660000.0,112405994498.806,0.0,0.0
489,,,,,
490,,,,,
491,2008-01-28,24208660000.0,112405994498.806,0.0,0.0
492,2008-01-29,24208660000.0,113728820495.224,0.0,0.0
493,2008-01-30,24208660000.0,114282162416.60118,0.0,0.0
494,2008-01-31,24208660000.0,117031591271.29556,0.0,0.0
495,2008-02-01,24208660000.0,115639584548.16818,0.0,0.0
496,,,,,
497,,,,,
498,2008-02-04,24208660000.0,113823939665.60364,0.0,0.0
499,2008-02-05,24208660000.0,111844006429.53873,0.0,0.0
500,2008-02-06,24208660000.0,105480591649.08408,0.0,0.0
501,2008-02-07,24208660000.0,104823495953.02582,0.0,0.0
502,2008-02-08,24208660000.0,108489393396.89256,0.0,0.0
503,,,,,
504,,,,,
505,2008-02-11,24208660000.0,111921810216.9609,0.0,0.0
506,2008-02-12,24208660000.0,107953343771.29556,0.0,0.0
507,2008-02-13,24208660000.0,111878602564.68771,0.0,0.0
508,2008-02-14,24208660000.0,110201284504.776,0.0,0.0
509,2008-02-15,24208660000.0,107754459282.64618,0.0,0.0
510,,,,,
511,,,,,
512,,,,,
513,2008-02-19,24208660000.0,105636210767.51707,0.0,0.0
514,2008-02-20,24208660000.0,107054155934.31471,0.0,0.0
515,2008-02-21,24208660000.0,105082868846.13992,0.0,0.0
516,2008-02-22,24208660000.0,103284527802.94418,0.0,0.0
517,,,,,
518,,,,,
519,2008-02-25,24208660000.0,103526619943.86671,0.0,0.0
520,2008-02-26,24208660000.0,103016485674.76273,0.0,0.0
521,2008-02-27,24208660000.0,106310610302.94418,0.0,0.0
522,2008-02-28,24208660000.0,112319544563.49371,0.0,0.0
523,2008-02-29,24208660000.0,108091670593.94836,0.0,0.0
524,,,,,
525,,,,,
526,2008-03-03,24208660000.0,105247145656.05164,0.0,0.0
527,2008-03-04,24208660000.0,107745824678.34473,0.0,0.0
528,2008-03-05,24208660000.0,107633424755.77354,0.0,0.0
529,2008-03-06,24208660000.0,104555488455.61028,0.0,0.0
530,2008-03-07,24208660000.0,105696733802.74773,0.0,0.0
531,,,,,
532,,,,,
533,2008-03-10,24208660000.0,103483377660.82764,0.0,0.0
534,2008-03-11,24208660000.0,110106165334.39636,0.0,0.0
535,2008-03-12,24208660000.0,108964896900.08163,0.0,0.0
536,2008-03-13,24208660000.0,110616288059.91171,0.0,0.0
537,2008-03-14,24208660000.0,109466385021.29556,0.0,0.0
538,,,,,
539,,,,,
540,2008-03-17,24208660000.0,109570115708.79936,0.0,0.0
541,2008-03-18,24208660000.0,114835492794.38972,0.0,0.0
542,2008-03-19,24208660000.0,112112025470.54292,0.0,0.0
543,2008-03-20,24208660000.0,115224580993.03246,0.0,0.0
544,,,,,
545,,,,,
546,,,,,
547,2008-03-24,24208660000.0,120636931049.16573,0.0,0.0
548,2008-03-25,24208660000.0,121890599406.05164,0.0,0.0
549,2008-03-26,24208660000.0,125418146940.08829,0.0,0.0
550,2008-03-27,24208660000.0,121259453697.25227,0.0,0.0
551,2008-03-28,24208660000.0,123645732796.97418,0.0,0.0
552,,,,,
553,,,,,
554,2008-03-31,24684576000.0,126508452000.0,0.0,0.0
555,2008-04-01,24684576000.0,131824443957.8247,0.0,0.0
556,2008-04-02,24684576000.0,130026002196.71632,0.0,0.0
557,2008-04-03,24684576000.0,133658161976.57776,0.0,0.0
558,2008-04-04,24684576000.0,134954108337.24976,0.0,0.0
559,,,,,
560,,,,,
561,2008-04-07,24684576000.0,137431379704.92554,0.0,0.0
562,2008-04-08,24684576000.0,134742509643.9972,0.0,0.0
563,2008-04-09,24684576000.0,133508276135.78796,0.0,0.0
564,2008-04-10,24684576000.0,136250042927.39868,0.0,0.0
565,2008-04-11,24684576000.0,129717449704.92554,0.0,0.0
566,,,,,
567,,,,,
568,2008-04-14,24684576000.0,130281657957.8247,0.0,0.0
569,2008-04-15,24684576000.0,130810625264.64844,0.0,0.0
570,2008-04-16,24684576000.0,135500696117.1112,0.0,0.0
571,2008-04-17,24684576000.0,136197146196.71632,0.0,0.0
572,2008-04-18,24684576000.0,141971588257.64465,0.0,0.0
573,,,,,
574,,,,,
575,2008-04-21,24684576000.0,148248502177.96326,0.0,0.0
576,2008-04-22,24684576000.0,141231045798.6145,0.0,0.0
577,2008-04-23,24684576000.0,143602523704.92554,0.0,0.0
