,CostsAndExpenses-0,CostsAndExpenses-1,CostsAndExpenses-2,CostsAndExpenses-3,DepreciationAndAmortization-0,DepreciationAndAmortization-1,DepreciationAndAmortization-2,DepreciationAndAmortization-3,EarningsPerShareDiluted-0,EarningsPerShareDiluted-1,EarningsPerShareDiluted-2,EarningsPerShareDiluted-3,GrossProfit-0,GrossProfit-1,GrossProfit-2,GrossProfit-3,IncomeTaxesPaidNet-0,IncomeTaxesPaidNet-1,IncomeTaxesPaidNet-2,IncomeTaxesPaidNet-3,NetIncomeLoss-0,NetIncomeLoss-1,NetIncomeLoss-2,NetIncomeLoss-3,OperatingIncomeLoss-0,OperatingIncomeLoss-1,OperatingIncomeLoss-2,OperatingIncomeLoss-3,Revenues-0,Revenues-1,Revenues-2,Revenues-3,FreeCashFlow-0,FreeCashFlow-1,FreeCashFlow-2,FreeCashFlow-3,EntityCommonStockSharesOutstanding-0,MarketCap,splits,close,static_quantile,dynamic_quantile,category
2013-06-30,15625000000.0,15889000000.0,17026000000.0,13834000000.0,756000000.0,700000000.0,662000000.0,554000000.0,-0.02,0.18,0.38,-0.6,4495000000.0,4269000000.0,1294000000.0,3487000000.0,34000000.0,86000000.0,52000000.0,21000000.0,-7000000.0,82000000.0,177000000.0,-274000000.0,79000000.0,181000000.0,405000000.0,-28000000.0,15704000000.0,16070000000.0,17431000000.0,13806000000.0,25000000.0,-3042000000.0,3055000000.0,227000000.0,9104853880.0,126416339598.4532,0.0,13.884499549865724,13.884499549865724,13.677499961853028,6
2013-09-30,17117000000.0,15625000000.0,15889000000.0,17026000000.0,834000000.0,756000000.0,700000000.0,662000000.0,-0.09,-0.02,0.18,0.38,4726000000.0,4495000000.0,4269000000.0,1294000000.0,23000000.0,34000000.0,86000000.0,52000000.0,-41000000.0,-7000000.0,82000000.0,177000000.0,-25000000.0,79000000.0,181000000.0,405000000.0,17092000000.0,15704000000.0,16070000000.0,17431000000.0,350000000.0,25000000.0,-3042000000.0,3055000000.0,9137670380.0,142840063101.3004,0.0,15.631999969482422,15.80049991607666,15.3774995803833,6
2013-12-31,25077000000.0,17117000000.0,15625000000.0,15889000000.0,615000000.0,615000000.0,615000000.0,615000000.0,0.51,-0.09,-0.02,0.18,6781000000.0,4726000000.0,4495000000.0,4269000000.0,26000000.0,23000000.0,34000000.0,86000000.0,239000000.0,-41000000.0,-7000000.0,82000000.0,510000000.0,-25000000.0,79000000.0,181000000.0,25587000000.0,17092000000.0,15704000000.0,16070000000.0,4698000000.0,350000000.0,25000000.0,-3042000000.0,9154672400.0,182539597723.3284,0.0,19.93950080871582,19.959999084472656,19.481799697875974,6
2014-03-31,19595000000.0,25077000000.0,17117000000.0,15625000000.0,1010000000.0,963000000.0,834000000.0,756000000.0,0.23,0.51,-0.09,-0.02,5686000000.0,6781000000.0,4726000000.0,4495000000.0,38000000.0,26000000.0,23000000.0,34000000.0,108000000.0,239000000.0,-41000000.0,-7000000.0,146000000.0,510000000.0,-25000000.0,79000000.0,19741000000.0,25587000000.0,17092000000.0,15704000000.0,-3582000000.0,4698000000.0,350000000.0,25000000.0,9185290700.0,154482816403.26807,0.0,16.818500518798828,18.627099990844723,19.82200050354004,6
2014-06-30,19355000000.0,19595000000.0,25077000000.0,17117000000.0,1109000000.0,1010000000.0,963000000.0,834000000.0,-0.27,0.23,0.51,-0.09,5941000000.0,5686000000.0,6781000000.0,4726000000.0,71000000.0,38000000.0,26000000.0,23000000.0,-126000000.0,108000000.0,239000000.0,-41000000.0,-15000000.0,146000000.0,510000000.0,-25000000.0,19340000000.0,19741000000.0,25587000000.0,17092000000.0,-428000000.0,-3582000000.0,4698000000.0,350000000.0,9203348080.0,149453172420.1909,0.0,16.23900032043457,16.40150032043457,16.32079963684082,6
2014-09-30,21123000000.0,19355000000.0,19595000000.0,25077000000.0,1247000000.0,1109000000.0,1010000000.0,963000000.0,-0.95,-0.27,0.23,0.51,5952000000.0,5941000000.0,5686000000.0,6781000000.0,38000000.0,71000000.0,38000000.0,26000000.0,-437000000.0,-126000000.0,108000000.0,239000000.0,-544000000.0,-15000000.0,146000000.0,510000000.0,20579000000.0,19340000000.0,19741000000.0,25587000000.0,388000000.0,-428000000.0,-3582000000.0,4698000000.0,9240722260.0,148978921878.68207,0.0,16.121999740600586,16.98499984741211,17.186700439453126,6
2014-12-31,28737000000.0,21123000000.0,19355000000.0,19595000000.0,904000000.0,904000000.0,904000000.0,904000000.0,0.45,-0.95,-0.27,0.23,8656000000.0,5952000000.0,5941000000.0,5686000000.0,29000000.0,38000000.0,71000000.0,38000000.0,214000000.0,-437000000.0,-126000000.0,108000000.0,591000000.0,-544000000.0,-15000000.0,146000000.0,29328000000.0,20579000000.0,19340000000.0,19741000000.0,5571000000.0,388000000.0,-428000000.0,-3582000000.0,9260129040.0,143694051671.70822,0.0,15.517499923706056,15.626300048828124,16.17130012512207,6
2015-03-31,22462000000.0,28737000000.0,21123000000.0,19355000000.0,1426000000.0,1379000000.0,1247000000.0,1109000000.0,-0.12,0.45,-0.95,-0.27,7322000000.0,8656000000.0,5952000000.0,5941000000.0,55000000.0,29000000.0,38000000.0,71000000.0,-57000000.0,214000000.0,-437000000.0,-126000000.0,255000000.0,591000000.0,-544000000.0,-15000000.0,22717000000.0,29328000000.0,20579000000.0,19340000000.0,-2370000000.0,5571000000.0,388000000.0,-428000000.0,9287678780.0,172797259450.33807,0.0,18.604999542236328,19.004499435424805,19.004499435424805,6
2015-06-30,22721000000.0,22462000000.0,28737000000.0,21123000000.0,1504000000.0,1426000000.0,1379000000.0,1247000000.0,0.19,-0.12,0.45,-0.95,8025000000.0,7322000000.0,8656000000.0,5952000000.0,65000000.0,55000000.0,29000000.0,38000000.0,92000000.0,-57000000.0,214000000.0,-437000000.0,464000000.0,255000000.0,591000000.0,-544000000.0,23185000000.0,22717000000.0,29328000000.0,20579000000.0,784000000.0,-2370000000.0,5571000000.0,388000000.0,9313619140.0,202147448471.6192,0.0,21.70450019836425,21.905000686645508,21.684499740600582,6
2015-09-30,24952000000.0,22721000000.0,22462000000.0,28737000000.0,1599000000.0,1504000000.0,1426000000.0,1379000000.0,0.17,0.19,-0.12,0.45,8603000000.0,8025000000.0,7322000000.0,8656000000.0,80000000.0,65000000.0,55000000.0,29000000.0,79000000.0,92000000.0,-57000000.0,214000000.0,406000000.0,464000000.0,255000000.0,591000000.0,25358000000.0,23185000000.0,22717000000.0,29328000000.0,1415000000.0,784000000.0,-2370000000.0,5571000000.0,9354204360.0,239416179638.2065,0.0,25.59449958801269,26.8267993927002,26.57980003356933,6
2015-12-31,34639000000.0,24952000000.0,22721000000.0,22462000000.0,1753000000.0,1599000000.0,1504000000.0,1426000000.0,1.0,0.17,0.19,-0.12,11406000000.0,8603000000.0,8025000000.0,7322000000.0,73000000.0,80000000.0,65000000.0,55000000.0,482000000.0,79000000.0,92000000.0,-57000000.0,1108000000.0,406000000.0,464000000.0,255000000.0,35747000000.0,25358000000.0,23185000000.0,22717000000.0,7503000000.0,1415000000.0,784000000.0,-2370000000.0,9375240100.0,316831536967.85925,0.0,33.79449844360352,33.765699005126955,33.5723991394043,6
